iter	F1	Logloss
218	0.980205742	0.192306932
219	0.980205742	0.1910674217
220	0.980205742	0.1902608814
221	0.980205742	0.1886916241
222	0.980205742	0.1880482166
223	0.980205742	0.1868125615
224	0.980205742	0.1860636804
225	0.980205742	0.1848422109
226	0.980205742	0.183578677
227	0.980205742	0.1827052789
228	0.980205742	0.1819232505
229	0.980205742	0.1816773153
230	0.9817005138	0.1799833198
231	0.9817005138	0.1791564237
232	0.9817005138	0.1781120352
233	0.9831998515	0.1767424137
234	0.9831998515	0.1764993967
235	0.9831998515	0.1762890232
236	0.9831998515	0.1755823515
237	0.9831998515	0.1747575393
238	0.9831998515	0.174563926
239	0.9831998515	0.1733685387
240	0.9831998515	0.1731483027
241	0.984703776	0.1720588415
242	0.984703776	0.1713934891
243	0.984703776	0.1707262192
244	0.984703776	0.1703999108
245	0.9831998515	0.1702123022
246	0.9831998515	0.169759953
247	0.9831998515	0.1692669253
248	0.9831998515	0.1679849313
249	0.9831998515	0.1673322278
250	0.9831998515	0.1663840026
251	0.9831998515	0.1657451195
252	0.9831998515	0.1650176344
253	0.984703776	0.1641661888
254	0.984703776	0.1635087292
255	0.9831998515	0.1620342145
256	0.9831998515	0.1614263296
257	0.9862123084	0.1606006193
258	0.9862123084	0.1602882225
259	0.9862123084	0.1590874401
260	0.984703776	0.1583586285
261	0.984703776	0.1581744417
262	0.984703776	0.1573471305
263	0.984703776	0.1563731936
264	0.9862123084	0.1555287416
265	0.984703776	0.1548814915
266	0.984703776	0.1547078402
267	0.984703776	0.1545025677
268	0.9862123084	0.1538881237
269	0.984703776	0.1533825693
270	0.984703776	0.1531708468
271	0.9862123084	0.1521319517
272	0.9862123084	0.1518870791
273	0.984703776	0.1514678074
274	0.9862123084	0.1504629781
275	0.98772547	0.1496510449
276	0.98772547	0.1494284205
277	0.9892432821	0.1486969483
278	0.9892432821	0.1476006393
279	0.9892432821	0.1470251099
280	0.9892432821	0.1465741302
281	0.990765766	0.1460208367
282	0.990765766	0.1448482137
283	0.990765766	0.1440735596
284	0.990765766	0.1434036257
285	0.990765766	0.1427204041
286	0.990765766	0.1420018411
287	0.990765766	0.1413086381
288	0.990765766	0.1410998309
289	0.990765766	0.1409299527
290	0.990765766	0.1405336424
291	0.990765766	0.139518599
292	0.990765766	0.1390501982
293	0.990765766	0.1385438886
294	0.990765766	0.1381118935
295	0.990765766	0.1375243575
296	0.9922929436	0.1369071638
297	0.9922929436	0.1362383293
298	0.990765766	0.135777788
299	0.9922929436	0.1349042004
300	0.9922929436	0.1345933468
301	0.9938248364	0.1334063532
302	0.9938248364	0.1329817998
303	0.9938248364	0.132238711
304	0.9938248364	0.1311740247
305	0.9953614664	0.1305056799
306	0.9953614664	0.1303327106
307	0.9953614664	0.1294313193
308	0.9953614664	0.128865768
309	0.9969028555	0.1277429213
310	0.9969028555	0.1268371526
311	0.9969028555	0.1262628156
312	0.9969028555	0.1254819488
313	0.9953614664	0.1248597292
314	0.9953614664	0.124324187
315	0.9953614664	0.123714695
316	0.9969028555	0.1228697387
317	0.9953614664	0.1227319819
318	0.9969028555	0.1223491944
319	0.9953614664	0.1220523484
320	0.9969028555	0.1215678725
321	0.9969028555	0.1210414641
322	0.9969028555	0.1206921774
323	0.9969028555	0.1202448895
324	0.9969028555	0.1198408797
325	0.9969028555	0.1188992179
326	0.9953614664	0.1181492136
327	0.9953614664	0.1179549185
328	0.9969028555	0.1177893342
329	0.9953614664	0.1176718661
330	0.9969028555	0.1170836554
331	0.9969028555	0.1167946833
332	0.9969028555	0.1164120984
333	0.9969028555	0.1161236345
334	0.9969028555	0.11562465
335	0.9969028555	0.1149049711
336	0.9969028555	0.1146812979
337	0.9969028555	0.1145296111
338	0.9969028555	0.1142105969
339	0.9969028555	0.1138545506
340	0.9969028555	0.1136840254
341	0.9969028555	0.1133235085
342	0.9969028555	0.113014418
343	0.9969028555	0.1128143871
344	0.9969028555	0.1122988464
345	0.9969028555	0.1119676501
346	0.9969028555	0.1112878142
347	0.998449026	0.1111594645
348	0.998449026	0.110843533
349	0.998449026	0.1104427488
350	0.998449026	0.1101798349
351	0.998449026	0.1100893963
352	0.998449026	0.1093511697
353	0.998449026	0.109102491
354	0.998449026	0.1087612915
355	0.998449026	0.1080480103
356	0.998449026	0.1076718777
357	0.998449026	0.107438405
358	0.998449026	0.107139741
359	0.998449026	0.1068426522
360	0.998449026	0.1061873979
361	0.998449026	0.1057142417
362	0.998449026	0.1052087084
363	0.998449026	0.1049371779
364	0.998449026	0.1045520334
365	0.998449026	0.1044561689
366	0.998449026	0.1042537987
367	0.998449026	0.1038613296
368	0.998449026	0.1035388658
369	0.998449026	0.1031727559
370	0.998449026	0.1030589988
371	0.998449026	0.1024702388
372	0.998449026	0.1021249775
373	0.998449026	0.1017561833
374	0.998449026	0.1016712568
375	0.998449026	0.1014917933
376	0.998449026	0.1012444757
377	0.998449026	0.1006952641
378	0.998449026	0.1003906316
379	0.998449026	0.1002271534
380	0.998449026	0.09972263537
381	0.998449026	0.09927492734
382	0.998449026	0.09881831554
383	0.998449026	0.09827904455
384	0.998449026	0.0979419298
385	0.998449026	0.09785646304
386	0.998449026	0.09779494006
387	0.998449026	0.09749050724
388	0.998449026	0.0969907015
389	0.998449026	0.09680840656
390	0.998449026	0.09643830317
391	0.998449026	0.09631620296
392	1	0.0960828925
393	1	0.09594576619
394	1	0.09557286745
395	1	0.09543280451
396	1	0.09528903932
397	1	0.09511379711
398	1	0.09475940825
399	1	0.09445114107
400	1	0.09403965886
401	1	0.09329697252
402	1	0.09302319263
403	1	0.09259020575
404	1	0.09222496259
405	1	0.0919980579
406	1	0.09183496512
407	1	0.09176232295
408	1	0.09141860446
409	1	0.09113501548
410	1	0.09072068612
411	1	0.09027365845
412	1	0.09018396301
413	1	0.08997339404
414	1	0.08985006238
415	1	0.0893923107
416	1	0.0889935307
417	1	0.08884126503
418	1	0.08859282221
419	1	0.08829444051
420	1	0.08819991973
421	1	0.08809475049
422	1	0.08798662357
423	1	0.08789705532
424	1	0.08769198691
425	1	0.08751356463
426	1	0.08712620997
427	1	0.08704018407
428	1	0.08698195418
429	1	0.08650220624
430	1	0.08623892631
431	1	0.08601239207
432	1	0.08574584989
433	1	0.08529669793
434	1	0.08487228252
435	1	0.08446814225
436	1	0.08419571473
437	1	0.0835804119
438	1	0.08333390705
439	1	0.08314716274
440	1	0.08304187663
441	1	0.08250741198
442	1	0.08213937392
443	1	0.08181875253
444	1	0.08172916734
445	1	0.08119289253
446	1	0.081033312
447	1	0.08094533065
448	1	0.08061407451
449	1	0.08033092813
450	1	0.08027117001
451	1	0.08012454002
452	1	0.07991234869
453	1	0.07978150276
454	1	0.07938714539
455	1	0.07915125711
456	1	0.07879546679
457	1	0.07860262144
458	1	0.07820146797
459	1	0.07794894568
460	1	0.07774792375
461	1	0.07749361514
462	1	0.07707129121
463	1	0.07675378072
464	1	0.07667999136
465	1	0.07660993569
466	1	0.0763389071
467	1	0.07612476165
468	1	0.07607088183
469	1	0.07569691306
470	1	0.07546556273
471	1	0.075120696
472	1	0.07504590692
473	1	0.07492001507
474	1	0.07473292115
475	1	0.07450800235
476	1	0.07436228276
477	1	0.07429182034
478	1	0.07407987291
479	1	0.07396366067
480	1	0.07385671367
481	1	0.07369569278
482	1	0.07355699497
483	1	0.07338213432
484	1	0.07314631616
485	1	0.07302396452
486	1	0.07296072175
487	1	0.07287538474
488	1	0.07255310112
489	1	0.07242081051
490	1	0.07213229988
491	1	0.07181557833
492	1	0.07160896351
493	1	0.07138732737
494	1	0.07098488541
495	1	0.07071793566
496	1	0.07065548427
497	1	0.07038581971
498	1	0.07012862861
499	1	0.06992496088
